label,GDP_Per_Capita
2021,12335.8592072076
2020,10895.7352329064
2019,11330.4536704935
2018,11290.0999748475
2017,10746.8562684176
2016,10208.8699002511
2015,10156.9534578037
2014,10898.72081124
2013,10738.3174082681
2012,10575.6601299358
2011,10473.7448538989
2010,9558.02173069303
2009,8832.30414329192
2008,9429.27480262272
2007,8687.42984341285
2006,7805.61187261959
2005,7293.72387688172
2004,6820.29545467583
2003,6129.09855707847
2002,5536.51492421616
2001,5401.40256884011
2000,5508.43301374779
1999,5402.58193266656
1998,5276.63822010053
1997,5364.55127824271
1996,5462.494508403
1995,5422.19801988266
1994,4944.93799251716
1993,4662.16625042974
1992,4658.7308683481
1991,4428.10783685469
1990,4318.91253431034
1989,3895.50064995193
1988,3792.79322458373
1987,3457.79436892962
1986,3090.05171095172
1985,2659.16990771395
1984,2582.87404917583
1983,2527.3842867335
1982,2522.46911415377
1981,2594.25543432941
1980,2552.05848943167
1979,2302.87779075191
1978,2025.85326308056
1977,1743.36662912151
1976,1568.57393134329
1975,1468.7813516705
1974,1343.08497688773
1973,1188.11849559351
1972,993.031329399422
1971,878.592620098581
1970,812.222211741064
1969,758.180667242842
1968,701.852919503374
1967,663.878549485787
1966,636.78995273482
1965,599.152118007602
1964,561.42440733262
1963,523.401899309801
1962,495.967406897787
1961,471.686740470288
1960,456.82637523312